
Detected numeric columns: ['advocacy_msg_type_illuminating', 'attack_msg_type_illuminating', 'bookmarkCount', 'covid_topic_illuminating', 'cta_msg_type_illuminating', 'economy_topic_illuminating', 'education_topic_illuminating', 'election_integrity_Truth_illuminating', 'engagement_cta_subtype_illuminating', 'environment_topic_illuminating', 'foreign_policy_topic_illuminating', 'fraud_illuminating', 'freefair_illuminating', 'fundraising_cta_subtype_illuminating', 'governance_topic_illuminating', 'health_topic_illuminating', 'image_msg_type_illuminating', 'immigration_topic_illuminating', 'inReplyToId', 'incivility_illuminating', 'issue_msg_type_illuminating', 'lgbtq_issues_topic_illuminating', 'likeCount', 'military_topic_illuminating', 'quoteCount', 'quoteId', 'race_and_ethnicity_topic_illuminating', 'replyCount', 'retweetCount', 'safety_topic_illuminating', 'scam_illuminating', 'social_and_cultural_topic_illuminating', 'technology_and_privacy_topic_illuminating', 'viewCount', 'voting_cta_subtype_illuminating', 'womens_issue_topic_illuminating']

===== Descriptive Statistics for Entire Dataset =====
Column                                    | Count | Mean                   | Min                   | Max                    | Std                    | Unique | Most Frequent                                                               
attack_msg_type_illuminating              | 14199 | 0.37                   | 0.0                   | 1.0                   | 0.48                  |        |                                                                             
image_msg_type_illuminating               | 14199 | 0.27                   | 0.0                   | 1.0                   | 0.44                  |        |                                                                             
cta_msg_type_illuminating                 | 14199 | 0.1                    | 0.0                   | 1.0                   | 0.3                   |        |                                                                             
engagement_cta_subtype_illuminating       | 14199 | 0.06                   | 0.0                   | 1.0                   | 0.23                  |        |                                                                             
fundraising_cta_subtype_illuminating      | 14199 | 0.01                   | 0.0                   | 1.0                   | 0.1                   |        |                                                                             
voting_cta_subtype_illuminating           | 14199 | 0.01                   | 0.0                   | 1.0                   | 0.12                  |        |                                                                             
covid_topic_illuminating                  | 14199 | 0.01                   | 0.0                   | 1.0                   | 0.1                   |        |                                                                             
economy_topic_illuminating                | 14199 | 0.18                   | 0.0                   | 1.0                   | 0.39                  |        |                                                                             
education_topic_illuminating              | 14199 | 0.02                   | 0.0                   | 1.0                   | 0.13                  |        |                                                                             
environment_topic_illuminating            | 14199 | 0.03                   | 0.0                   | 1.0                   | 0.18                  |        |                                                                             
foreign_policy_topic_illuminating         | 14199 | 0.04                   | 0.0                   | 1.0                   | 0.19                  |        |                                                                             
governance_topic_illuminating             | 14199 | 0.02                   | 0.0                   | 1.0                   | 0.15                  |        |                                                                             
health_topic_illuminating                 | 14199 | 0.05                   | 0.0                   | 1.0                   | 0.21                  |        |                                                                             
immigration_topic_illuminating            | 14199 | 0.09                   | 0.0                   | 1.0                   | 0.29                  |        |                                                                             
lgbtq_issues_topic_illuminating           | 14199 | 0.0                    | 0.0                   | 1.0                   | 0.05                  |        |                                                                             
military_topic_illuminating               | 14199 | 0.01                   | 0.0                   | 1.0                   | 0.11                  |        |                                                                             
race_and_ethnicity_topic_illuminating     | 14199 | 0.01                   | 0.0                   | 1.0                   | 0.12                  |        |                                                                             
safety_topic_illuminating                 | 14199 | 0.05                   | 0.0                   | 1.0                   | 0.21                  |        |                                                                             
social_and_cultural_topic_illuminating    | 14199 | 0.04                   | 0.0                   | 1.0                   | 0.2                   |        |                                                                             
technology_and_privacy_topic_illuminating | 14199 | 0.0                    | 0.0                   | 1.0                   | 0.04                  |        |                                                                             
womens_issue_topic_illuminating           | 14199 | 0.02                   | 0.0                   | 1.0                   | 0.12                  |        |                                                                             
incivility_illuminating                   | 14199 | 0.22                   | 0.0                   | 1.0                   | 0.41                  |        |                                                                             
scam_illuminating                         | 14199 | 0.02                   | 0.0                   | 1.0                   | 0.13                  |        |                                                                             
freefair_illuminating                     | 14930 | 0.0                    | 0.0                   | 1.0                   | 0.04                  |        |                                                                             
fraud_illuminating                        | 14930 | 0.0                    | 0.0                   | 1.0                   | 0.05                  |        |                                                                             

===== Descriptive Statistics for group: source = Sprout Social =====
Column                                    | Count | Mean                  | Min                    | Max                    | Std                    | Unique | Most Frequent                                                              
------------------------------------------+-------+-----------------------+------------------------+------------------------+------------------------+--------+----------------------------------------------------------------------------
id                                        | 2933  |                       |                        |                        |                        | 2933   | 562f42161d274553cded804ba8f9c8480e5f9208d9134dd38f3da184eafc5b79 (Count: 1)
url                                       | 2933  |                       |                        |                        |                        | 2933   | ca71b42b22b2a7a8d4d3513013fecf6e5f94bf6453927b29b28bdd12a3bd6689 (Count: 1)
source                                    | 2933  |                       |                        |                        |                        | 1      | Sprout Social (Count: 2933)                                                
retweetCount                              | 2933  | 3524.79               | 13.0                   | 80331.0                | 4583.9                 |        |                                                                            
replyCount                                | 2933  | 5186.27               | 12.0                   | 60598.0                | 5803.9                 |        |                                                                            
likeCount                                 | 2933  | 18173.41              | 60.0                   | 423537.0               | 28805.32               |        |                                                                            
quoteCount                                | 2933  | 426.12                | 0.0                    | 17200.0                | 854.88                 |        |                                                                            
viewCount                                 | 2933  | 1501097.31            | 2647.0                 | 76522204.0             | 3432376.72             |        |                                                                            
createdAt                                 | 2933  |                       |                        |                        |                        | 2933   | 2023-09-30 15:35:26 (Count: 1)                                             
lang                                      | 2933  |                       |                        |                        |                        | 1      | en (Count: 2933)                                                           
bookmarkCount                             | 2933  | 230.8                 | 0.0                    | 13271.0                | 581.75                 |        |                                                                            
isReply                                   | 2933  |                       |                        |                        |                        | 2      | False (Count: 2932)                                                        
isRetweet                                 | 2933  |                       |                        |                        |                        | 1      | False (Count: 2933)                                                        
isQuote                                   | 2933  |                       |                        |                        |                        | 2      | False (Count: 2904)                                                        
isConversationControlled                  | 2933  |                       |                        |                        |                        | 1      | False (Count: 2933)                                                        
quoteId                                   | 29    | 1.778639492340641e+18 | 1.6965043017266386e+18 | 1.8512620899369047e+18 | 3.1816291083773984e+16 |        |                                                                            
inReplyToId                               | 0     |                       |                        |                        |                        |        |                                                                            
month_year                                | 2933  |                       |                        |                        |                        | 15     | 2024-10 (Count: 316)                                                       
illuminating_scored_message               | 2933  |                       |                        |                        |                        | 2930   | cf14adc6100946c861e8480495e17c3b4c4d7cec48709709c323cd733bcf1a1b (Count: 2)
election_integrity_Truth_illuminating     | 2769  | 0.03                  | 0.0                    | 1.0                    | 0.18                   |        |                                                                            
advocacy_msg_type_illuminating            | 2769  | 0.68                  | 0.0                    | 1.0                    | 0.47                   |        |                                                                            
issue_msg_type_illuminating               | 2769  | 0.58                  | 0.0                    | 1.0                    | 0.49                   |        |                                                                            
attack_msg_type_illuminating              | 2769  | 0.26                  | 0.0                    | 1.0                    | 0.44                   |        |                                                                            
image_msg_type_illuminating               | 2769  | 0.16                  | 0.0                    | 1.0                    | 0.37                   |        |                                                                            
cta_msg_type_illuminating                 | 2769  | 0.11                  | 0.0                    | 1.0                    | 0.31                   |        |                                                                            
engagement_cta_subtype_illuminating       | 2769  | 0.05                  | 0.0                    | 1.0                    | 0.22                   |        |                                                                            
fundraising_cta_subtype_illuminating      | 2769  | 0.01                  | 0.0                    | 1.0                    | 0.08                   |        |                                                                            
voting_cta_subtype_illuminating           | 2769  | 0.05                  | 0.0                    | 1.0                    | 0.22                   |        |                                                                            
covid_topic_illuminating                  | 2769  | 0.0                   | 0.0                    | 1.0                    | 0.06                   |        |                                                                            
economy_topic_illuminating                | 2769  | 0.24                  | 0.0                    | 1.0                    | 0.42                   |        |                                                                            
education_topic_illuminating              | 2769  | 0.03                  | 0.0                    | 1.0                    | 0.17                   |        |                                                                            
environment_topic_illuminating            | 2769  | 0.02                  | 0.0                    | 1.0                    | 0.14                   |        |                                                                            
foreign_policy_topic_illuminating         | 2769  | 0.03                  | 0.0                    | 1.0                    | 0.18                   |        |                                                                            
governance_topic_illuminating             | 2769  | 0.02                  | 0.0                    | 1.0                    | 0.15                   |        |                                                                            
health_topic_illuminating                 | 2769  | 0.17                  | 0.0                    | 1.0                    | 0.38                   |        |                                                                            
immigration_topic_illuminating            | 2769  | 0.02                  | 0.0                    | 1.0                    | 0.16                   |        |                                                                            
lgbtq_issues_topic_illuminating           | 2769  | 0.01                  | 0.0                    | 1.0                    | 0.07                   |        |                                                                            
military_topic_illuminating               | 2769  | 0.01                  | 0.0                    | 1.0                    | 0.1                    |        |                                                                            
race_and_ethnicity_topic_illuminating     | 2769  | 0.02                  | 0.0                    | 1.0                    | 0.13                   |        |                                                                            
safety_topic_illuminating                 | 2769  | 0.04                  | 0.0                    | 1.0                    | 0.21                   |        |                                                                            
social_and_cultural_topic_illuminating    | 2769  | 0.16                  | 0.0                    | 1.0                    | 0.37                   |        |                                                                            
technology_and_privacy_topic_illuminating | 2769  | 0.0                   | 0.0                    | 1.0                    | 0.06                   |        |                                                                            
womens_issue_topic_illuminating           | 2769  | 0.11                  | 0.0                    | 1.0                    | 0.31                   |        |                                                                            
incivility_illuminating                   | 2769  | 0.13                  | 0.0                    | 1.0                    | 0.34                   |        |                                                                            
scam_illuminating                         | 2769  | 0.0                   | 0.0                    | 1.0                    | 0.04                   |        |                                                                            
freefair_illuminating                     | 2933  | 0.0                   | 0.0                    | 1.0                    | 0.05                   |        |                                                                            
fraud_illuminating                        | 2933  | 0.0                   | 0.0                    | 1.0                    | 0.03                   |        |                                                                            

===== Script Completed =====
